ticker,avg_dollar_volume,rank
LVS,247107777.31346813,148
CB,246955894.0334334,149
EQIX,246192512.36616093,150
ZTS,244089789.42452973,151
FIS,243740845.17795542,152
DVN,242641744.4089204,153
ETN,242619825.8598541,154
KR,242397387.19025892,155
SYK,241007843.7250085,156
PNC,234929212.91025248,157
NSC,231391020.69657317,158
MCHP,230392547.41334248,159
MET,229080999.97286856,160
STZ,228317548.99249586,161
BX,227306220.6228011,162
HLT,226280729.84369946,163
EW,226070503.0079901,164
ON,225107531.5392582,165
ICE,224959082.15548173,166
CTSH,224570018.0413172,167
PSX,221876503.9998461,168
MGM,220739999.41624132,169
PLD,219696852.07028854,170
DUK,219695797.70028043,171
NCLH,217069474.26811263,172
URI,216618475.5371101,173
GD,216448310.92232138,174
SO,214725359.26497588,175
AON,214548365.27436537,176
KMI,214241168.0489532,177
APD,213681361.4061846,178
DXCM,212998951.97819632,179
HPQ,212351016.84584936,180
DHI,211546313.68902034,181
ALGN,209297524.7892103,182
ROST,209071329.56313303,183
EMR,208919518.96952078,184
CME,208725989.72614047,185
FSLR,205892886.03793344,186
CNC,205059854.37674063,187
PGR,204324636.09372666,188
CCI,202991475.4767932,189
PCG,200762507.7485835,190
CMI,200652295.82961613,191
EXC,198859783.28370416,192
SWKS,198349312.87697566,193
BK,197180891.75704592,194
MNST,197074335.97652382,195
BAX,195162527.52433053,196
TFC,194857423.45384994,197
YUM,191665441.7241803,198
PH,191513587.03671882,199
SPG,191445284.51902065,200
SNPS,190299814.26497787,201
FTNT,186820876.24049175,202
D,186430630.10780966,203
GPN,186218767.4981437,204
TTWO,186176600.051874,205
TRV,185907237.6230831,206
KMB,185551949.80273348,207
LEN,185547709.39171812,208
JCI,184964843.8658551,209
ECL,184316824.22104377,210
WBD,181885659.8729535,211
CDNS,180902253.06220248,212
ITW,180354146.2812687,213
GIS,179223174.47032902,214
WMB,178797676.802356,215
WM,178640642.21935713,216
BBY,176501602.87475476,217
AEP,175572741.54060623,218
ALB,175176807.82368788,219
TT,174960810.59485453,220
APTV,174076578.52751333,221
MCO,172342406.76204428,222
DPZ,171445656.38432738,223
APA,171119036.02603248,224
ALL,170599822.8050014,225
NUE,166395547.66613016,226
FANG,166368797.4866314,227
A,160479077.32412735,228
IQV,159944191.3946535,229
PPG,158046661.40668434,230
SYY,158023244.596588,231
ROP,156181715.74850193,232
EQT,155521011.50124356,233
LYB,155368380.31743503,234
DLR,155308233.41065106,235
PSA,154746280.52198267,236
ZBH,154067566.6220164,237
LHX,153941785.2572357,238
BKR,153273749.34947404,239
SBAC,152935074.90077376,240
VTRS,152786692.58489448,241
COR,152425299.00634825,242
MTCH,151720293.52032903,243
SRE,151454794.62846082,244
TSCO,150113207.7052132,245
ROK,149888478.98880208,246
TEL,149606926.38504007,247
TSN,149369528.27215856,248
HSY,149244726.09497687,249
GLW,148753277.40347254,250
STT,148623770.79966673,251
ADM,147657526.64769414,252
WELL,147132702.05965772,253
GWW,146602978.9572148,254
CAH,145841236.28099805,255
STX,145767638.25088623,256
APH,144677018.1550194,257
MSI,144611757.96000752,258
IDXX,144445619.68446025,259
CLX,144307250.09323254,260
XEL,144203307.28952423,261
PRU,144124484.1252921,262
MLM,142559084.28888902,263
CPAY,141769767.5822495,264
AKAM,140963238.0614839,265
KEY,137324520.5872458,266
RF,137011949.24324292,267
AFL,136978936.1872744,268
CF,136789504.35697654,269
MOS,136470307.86570445,270
O,136098221.6324921,271
TDG,135390175.89519674,272
KMX,135251307.28037894,273
FITB,134747234.74699438,274
CTRA,134106313.47213472,275
ODFL,133352187.64847441,276
AMP,133027279.03764758,277
PAYX,132547385.45342524,278
INCY,132079337.44340385,279
MSCI,131708583.08421132,280
VMC,131583735.99935721,281
SWK,131518349.59576061,282
FAST,131201053.32707725,283
LH,131042847.6156273,284
KKR,130931478.19330977,285
EFX,130226761.10310142,286
DRI,129762898.58199474,287
PHM,129380381.19833104,288
PCAR,126747921.63570814,289
ED,126096050.25413601,290
TER,125296307.18900089,291
CTAS,124574101.18827917,292
NTAP,124050955.42669126,293
MPWR,122480168.49109451,294
VRSK,121640787.18777089,295
TPR,121271481.68453346,296
WTW,120978452.27228509,297
PEG,120540728.38100967,298
CSGP,119314478.60174601,299
HBAN,118387839.28542736,300
TROW,116322566.54551388,301
MTB,114986371.20298348,302
KDP,114655195.31224073,303
LYV,114245484.42755559,304
PPL,114232680.08662944,305
MTD,113850116.0136267,306
DECK,113390592.24002314,307
FE,112714437.83862735,308
HIG,112657672.31511207,309
NRG,112311431.95631409,310
IFF,111945655.78616369,311
OKE,111778272.79998025,312
IP,110853490.58115186,313
BALL,110483547.24457595,314
AVB,110233061.67831615,315
OMC,110125837.34289207,316
MHK,108973211.24521707,317
FFIV,108636983.58913156,318
RL,108510810.09231646,319
HOLX,108448438.72509651,320
DGX,107220382.98160452,321
ETR,105881180.58972909,322
RSG,105741939.91140753,323
VRSN,105194717.57849117,324
MAS,105194606.69788909,325
AME,104992206.67058153,326
CPRT,104809405.39997637,327
DOV,104751954.4904236,328
WAT,104680935.90329976,329
CAG,103814836.6750912,330
EIX,103779799.4674673,331
GNRC,103415366.14949462,332
HST,103306380.99850395,333
AJG,102880666.6860693,334
CBRE,102727701.62155442,335
WEC,102082623.17433846,336
WY,101721780.59564725,337
CHRW,100268927.58936083,338
VTR,99938333.94364092,339
EQR,99287863.41693877,340
JBHT,98808164.16506794,341
RMD,98650724.05264598,342
CHD,98506088.22551021,343
TAP,98469001.47863172,344
PWR,97489264.0668091,345
STLD,97419666.31031583,346
DTE,97341587.7113816,347
CNP,97327290.03112312,348
MOH,96788411.19750538,349
COO,96323350.88933879,350
SJM,95927507.69778566,351
DVA,95183864.15654744,352
IT,94721145.16900426,353
ES,94071619.83101106,354
EXPD,93101553.20433992,355
CDW,93065394.43285754,356
AWK,92985271.04087247,357
EPAM,92628663.26626733,358
NDAQ,92135184.37529626,359
UHS,91967051.85151541,360
CMS,91821805.02803332,361
MKC,90705946.97187787,362
CE,89542700.82966454,363
WAB,88738075.2887344,364
NVR,88501567.17099316,365
GEN,88353982.89989181,366
EXR,87792626.82793072,367
ZBRA,86858654.66433921,368
CPB,86724685.1680695,369
PODD,86503533.74404335,370
TRGP,84678300.72716238,371
FICO,84650182.2274011,372
BG,84166934.21632057,373
HSIC,84018300.45756048,374
WST,83948826.51731776,375
AEE,83748240.46237248,376
BLDR,83380649.57920386,377
NTRS,83217158.5169402,378
XYL,82958000.4285993,379
TXT,80722871.70614134,380
ARE,79814583.75100869,381
HAS,79639320.19838543,382
BWA,79555701.0324391,383
AES,79503337.24113452,384
GPC,78900494.15258354,385
ESS,78758023.49397874,386
PTC,77753249.77700634,387
DOC,77332696.32939842,388
CBOE,77092988.60549279,389
EMN,76897084.88974777,390
AXON,76190375.82849509,391
NI,75322050.25798775,392
RJF,74666222.92077479,393
FMC,74195376.79349238,394
GRMN,73952867.2804149,395
CRL,73840872.64305319,396
FDS,73498181.30477811,397
BXP,73258416.54284662,398
HRL,73205783.39085558,399
RVTY,72728082.44773625,400
PKG,72261463.00116646,401
PNR,71605033.41723426,402
BEN,71421670.09213178,403
EG,71297881.0953402,404
MKTX,69996491.94942375,405
IVZ,69960722.26019062,406
JBL,69784841.91275129,407
POOL,69506831.80835977,408
TFX,69437897.86340185,409
J,68818312.27103469,410
ACGL,68324432.27554959,411
TYL,68286399.75808617,412
STE,67640825.63303854,413
PFG,67085261.589313924,414
LDOS,66579615.66896714,415
SNA,66430079.88771207,416
EVRG,65905806.49870689,417
AVY,65249564.561882734,418
BR,64687003.739284165,419
LKQ,64317857.076173574,420
MAA,63056014.97059433,421
ALLE,62983868.51000097,422
ATO,62401884.084155925,423
KIM,62253538.52811573,424
TDY,62145337.47389716,425
IRM,60736086.87972524,426
HII,59604066.870397225,427
BF-B,59286518.62967135,428
TRMB,58877706.01174639,429
JKHY,58760659.429638095,430
HUBB,58715681.80388401,431
CPT,58635867.11981393,432
IEX,58608172.131947294,433
UDR,58427259.032964915,434
AOS,57542825.73103381,435
PNW,54297926.690854296,436
LNT,53794438.3672276,437
BRO,52465396.031977534,438
CINF,50345473.92800695,439
GL,48954251.13842184,440
L,48594072.83197221,441
TECH,48239310.17842527,442
AIZ,47921982.34846605,443
FRT,45986244.25742613,444
WRB,45975701.3184049,445
REG,45422151.98783579,446
NWSA,45331280.97024753,447
ROL,39424080.81160314,448
NDSN,37169564.176629595,449
TPL,32420142.744486798,450
ERIE,15753128.341062633,451
NWS,12652562.266607659,452
